rgn_id,habitat,boolean
6,coral,1
6,mangrove,1
6,saltmarsh,0
6,seagrass,0
6,seaice,0
6,softbottom,1
7,coral,1
7,mangrove,1
7,saltmarsh,0
7,seagrass,0
7,seaice,0
7,softbottom,1
