rgn_id,stock_id_taxonkey,year,mean_catch
6,Sphyrna lewini,1982,
6,Sphyrna mokarran,1982,
6,Sphyrna tiburo,1982,
6,Sphyrna zygaena,1982,
6,Squatina californica,1982,
6,Tetrapturus angustirostris,1982,
6,Thunnus albacares albacares,1982,
6,Thunnus obesus,1982,
6,Trachurus murphyi,1982,
6,Trichiurus lepturus,1982,
6,Xiphias gladius,1982,
6,Anchoa spp.,1983,
6,Anisotremus spp.,1983,
6,Arius spp.,1983,
6,Auxis spp.,1983,
6,Caranx spp.,1983,
6,Centropomus spp.,1983,
6,Cynoscion spp.,1983,
6,Eucinostomus spp.,1983,
6,Haemulon spp.,1983,
6,Hyporhamphus spp.,1983,
6,Larimus spp.,1983,
6,Lutjanus spp.,1983,
6,Makaira spp.,1983,
6,Menudo (otras especies pequeñas),1983,
6,Mugil spp.,1983,
6,Mycteroperca spp.,1983,
6,Opisthonema spp.,1983,27662
6,Prionotus spp.,1983,
6,Rhinobatus spp,1983,
6,Selene spp.,1983,
6,Seriola spp.,1983,
6,Acanthocybium solandri,1983,
6,Aetobatus narinari,1983,
6,Alopias pelagicus,1983,
6,Alopias superciliosus,1983,
6,Alopias vulpinus,1983,
6,Anchoa nasus,1983,
6,Caranx vinctus,1983,
6,Carcharhinus brachyurus,1983,
6,Carcharhinus falciformis,1983,
6,Carcharhinus galapagensis,1983,
6,Carcharhinus leucas,1983,
6,Carcharhinus limbatus,1983,
6,Carcharhinus longimanus,1983,
6,Carcharhinus obscurus,1983,
6,Carcharhinus porosus,1983,
6,Cetengraulis mysticetus,1983,16153.6
6,Chloroscombrus orqueta,1983,
6,Conodon macrops,1983,
6,Coryphaena hippurus,1983,
6,Dasyatis longa,1983,
6,Decapterus macrosoma,1983,
6,Dosidicus gigas,1983,
6,Echinorhinus cookei,1983,
6,Engraulis ringens,1983,
6,Etrumeus teres,1983,31735.6
6,Euthynnus lineatus,1983,
6,Fistularia corneta,1983,
6,Gaelorhinus galeus,1983,
6,Galeocerdo cuvier,1983,
6,Ginglymostoma cirratum,1983,
6,Istiophorus platypterus,1983,
6,Isurus oxyrinchus,1983,
6,Isurus paucus,1983,
6,Kajikia audax,1983,
6,Katsuwonus pelamis,1983,
6,Lepidocybium flavobrunneum,1983,
6,Makaira nigricans,1983,
6,Merluccius gayi gayi,1983,
6,Microlepidotus brevipinnis,1983,
6,Mobula munkiana,1983,
6,Mustelus henlei,1983,
6,Mustelus lunulatus,1983,
6,Nasolamia velox,1983,
6,Negaprion brevirostris,1983,
6,Notorhynchus cepedianus,1983,
6,Odontaspis noronhai,1983,
6,Oligoplites altus,1983,
6,Orthopristis chalceus,1983,
6,Peprilus medius,1983,
6,Prionace glauca,1983,
6,Pseudocarcharias kamoharai,1983,
6,Sarda orientalis,1983,
6,Sardinops sagax,1983,41665.2
6,Scomber japonicus,1983,101066.8
6,Scomberomorus sierra,1983,
6,Selar crumenophthalmus,1983,
6,Sphyraena ensis,1983,
6,Sphyrna lewini,1983,
6,Sphyrna mokarran,1983,
6,Sphyrna tiburo,1983,
6,Sphyrna zygaena,1983,
6,Squatina californica,1983,
6,Tetrapturus angustirostris,1983,
6,Thunnus albacares albacares,1983,
6,Thunnus obesus,1983,
6,Trachurus murphyi,1983,
6,Trichiurus lepturus,1983,
6,Xiphias gladius,1983,
6,Anchoa spp.,1984,
6,Anisotremus spp.,1984,
6,Arius spp.,1984,
6,Auxis spp.,1984,
6,Caranx spp.,1984,
6,Centropomus spp.,1984,
6,Cynoscion spp.,1984,
6,Eucinostomus spp.,1984,
6,Haemulon spp.,1984,
6,Hyporhamphus spp.,1984,
6,Larimus spp.,1984,
6,Lutjanus spp.,1984,
6,Makaira spp.,1984,
6,Menudo (otras especies pequeñas),1984,
6,Mugil spp.,1984,
6,Mycteroperca spp.,1984,
6,Opisthonema spp.,1984,72829.6
6,Prionotus spp.,1984,
6,Rhinobatus spp,1984,
6,Selene spp.,1984,
6,Seriola spp.,1984,
6,Acanthocybium solandri,1984,
6,Aetobatus narinari,1984,
6,Alopias pelagicus,1984,
6,Alopias superciliosus,1984,
6,Alopias vulpinus,1984,
6,Anchoa nasus,1984,
6,Caranx vinctus,1984,
6,Carcharhinus brachyurus,1984,
6,Carcharhinus falciformis,1984,
6,Carcharhinus galapagensis,1984,
6,Carcharhinus leucas,1984,
6,Carcharhinus limbatus,1984,
6,Carcharhinus longimanus,1984,
6,Carcharhinus obscurus,1984,
6,Carcharhinus porosus,1984,
6,Cetengraulis mysticetus,1984,21611.6
6,Chloroscombrus orqueta,1984,
6,Conodon macrops,1984,
6,Coryphaena hippurus,1984,
6,Dasyatis longa,1984,
6,Decapterus macrosoma,1984,
6,Dosidicus gigas,1984,
6,Echinorhinus cookei,1984,
6,Engraulis ringens,1984,
6,Etrumeus teres,1984,20810
6,Euthynnus lineatus,1984,
6,Fistularia corneta,1984,
6,Gaelorhinus galeus,1984,
6,Galeocerdo cuvier,1984,
6,Ginglymostoma cirratum,1984,
6,Istiophorus platypterus,1984,
6,Isurus oxyrinchus,1984,
6,Isurus paucus,1984,
6,Kajikia audax,1984,
6,Katsuwonus pelamis,1984,
6,Lepidocybium flavobrunneum,1984,
6,Makaira nigricans,1984,
6,Merluccius gayi gayi,1984,
6,Microlepidotus brevipinnis,1984,
6,Mobula munkiana,1984,
6,Mustelus henlei,1984,
6,Mustelus lunulatus,1984,
6,Nasolamia velox,1984,
6,Negaprion brevirostris,1984,
6,Notorhynchus cepedianus,1984,
6,Odontaspis noronhai,1984,
6,Oligoplites altus,1984,
6,Orthopristis chalceus,1984,
6,Peprilus medius,1984,
6,Prionace glauca,1984,
