rgn_id,stock_id_taxonkey,year,mean_catch
1,Cynoscion_analis-87_600403,2002,556
1,Doryteuthis_gahi-87_690296,2002,992
1,Dosidicus_gigas-87_690206,2002,4401
1,Engraulis_ringens-87_600004,2002,366658
1,Epinephelus-87_500366,2002,1
1,Ethmidium_maculatum-87_601593,2002,2
1,Gastropoda-87_290006,2002,337
1,Gerres_cinereus-87_601054,2002,4
1,Haemulon_steindachneri-87_601142,2002,0
1,Hemiramphus-87_509289,2002,0
1,Isacia_conceptionis-87_600397,2002,310
1,Katsuwonus_pelamis-87_600107,2002,0
1,Larimus_pacificus-87_614009,2002,61
1,Menticirrhus-87_502790,2002,0
1,Merluccius_gayi_peruanus-87_614693,2002,80
1,Miscellaneous_marine_crustaceans-87_100047,2002,2
1,Mugil_cephalus-87_600785,2002,4532
1,Muraenidae-87_400056,2002,21
1,Mustelus_whitneyi-87_605939,2002,363
1,Myliobatidae-87_400022,2002,5262
1,Octopus-87_590013,2002,228
1,Panulirus_gracilis-87_690619,2002,0
1,Paralabrax_humeralis-87_600352,2002,447
1,Paralichthyidae-87_400514,2002,0
1,Paralichthys_adspersus-87_610573,2002,0
1,Paralonchurus_peruanus-87_600424,2002,400
1,Penaeus_californiensis-87_690444,2002,276
1,Peprilus-87_501164,2002,114
1,Perciformes-87_300060,2002,0
1,Pomacentridae-87_400350,2002,0
1,Pteriida-87_490109,2002,0
1,Rhinobatos_planiceps-87_600149,2002,70
1,Sarda_chiliensis-87_600113,2002,170
1,Sardinops_sagax-87_601477,2002,373
1,Sciaenidae-87_400331,2002,2336
1,Scomber_japonicus-87_600117,2002,1596
1,Scomberomorus_sierra-87_600136,2002,0
1,Scorpaena-87_500134,2002,1
1,Selene_peruviana-87_601958,2002,0
1,Seriola_rivoliana-87_601007,2002,0
1,Seriola-87_500928,2002,0
1,Seriolella_violacea-87_613020,2002,11
1,Sphyrna_zygaena-87_600917,2002,0
1,Squatina_californica-87_600729,2002,8
1,Trachinotus_paitensis-87_601972,2002,29
1,Trachurus_murphyi-87_600367,2002,15567
1,Trichiurus_lepturus-87_601288,2002,13
1,Xiphias_gladius-87_600226,2002,0
1,Abudefduf-87_509206,2003,0
1,Actinopterygii-87_200006,2003,8
1,Albula_vulpes-87_600228,2003,0
1,Anisotremus_scapularis-87_608255,2003,0
1,Argopecten_purpuratus-87_690303,2003,528
1,Ariidae-87_400145,2003,2
1,Auxis_rochei-87_600093,2003,0
1,Brachyura-87_490097,2003,0
1,Brotula_clarkae-87_608275,2003,0
1,Calamus-87_501551,2003,14
1,Caranx_caballus-87_601900,2003,0
1,Carcharhinus-87_500816,2003,0
1,Caulolatilus-87_501615,2003,14
1,Cheilodactylus_variegatus-87_600461,2003,9
1,Cilus_gilberti-87_690627,2003,5
1,Coryphaena_hippurus-87_600006,2003,397
1,Cynoscion_analis-87_600403,2003,697
1,Doryteuthis_gahi-87_690296,2003,2645
1,Dosidicus_gigas-87_690206,2003,6578
1,Engraulis_ringens-87_600004,2003,645781
1,Epinephelus-87_500366,2003,1
1,Ethmidium_maculatum-87_601593,2003,0
1,Gastropoda-87_290006,2003,264
