rgn_id,year,score
1,2012,0.736
1,2013,0.733
1,2014,0.730
1,2015,0.727
1,2016,0.724
1,2017,0.721
1,2018,0.719
1,2019,0.716
1,2020,0.713
2,2012,0.736
2,2013,0.733
2,2014,0.730
2,2015,0.727
2,2016,0.724
2,2017,0.721
2,2018,0.719
2,2019,0.716
2,2020,0.713
