rgn_id,year,status
1,2014,53.266
2,2014,53.266
1,2015,100
2,2015,100
1,2016,84.9293
2,2016,84.9293
1,2017,21.5577
2,2017,21.5577
1,2018,41.5716
2,2018,41.5716
1,2019,95.7472
2,2019,95.7472
