rgn_id,year,w_fis
1,2005,0.984957776
2,2005,0.984957776
1,2006,0.977475691
2,2006,0.977475691
1,2007,0.980418842
2,2007,0.980418842
1,2008,0.980209449
2,2008,0.980209449
1,2009,0.951017201
2,2009,0.951017201
1,2010,0.940084868
2,2010,0.940084868
1,2011,0.96363652
2,2011,0.96363652
1,2012,0.883948151
2,2012,0.883948151
1,2013,0.908690589
2,2013,0.908690589
1,2014,0.927945535
2,2014,0.927945535
1,2015,0.943026824
2,2015,0.943026824
1,2016,0.937398796
2,2016,0.937398796
1,2017,0.939467676
2,2017,0.939467676
