rgn_id,year,Ep
1,1995,0.0165834
2,1995,0.0165834
1,1996,0.0179939
2,1996,0.0179939
1,1997,0.0191403
2,1997,0.0191403
1,1998,0.0195204
2,1998,0.0195204
1,1999,0.0199354
2,1999,0.0199354
1,2000,0.0208685
2,2000,0.0208685
1,2001,0.0199573
2,2001,0.0199573
1,2002,0.0237491
2,2002,0.0237491
1,2003,0.0240116
2,2003,0.0240116
1,2004,0.0249156
2,2004,0.0249156
1,2005,0.0255322
2,2005,0.0255322
1,2006,0.0244513
2,2006,0.0244513
1,2007,0.023953
2,2007,0.023953
1,2008,0.0236678
2,2008,0.0236678
1,2009,0.0246445
2,2009,0.0246445
1,2010,0.0218103
2,2010,0.0218103
1,2011,0.0203993
2,2011,0.0203993
1,2012,0.0209708
2,2012,0.0209708
1,2013,0.0223884
2,2013,0.0223884
1,2014,0.0229001
2,2014,0.0229001
1,2015,0.0240185
2,2015,0.0240185
1,2016,0.0238742
2,2016,0.0238742
1,2017,0.0231927
2,2017,0.0231927
1,2018,0.0233323
2,2018,0.0233323
1,2019,0.0233279
2,2019,0.0233279
1,2020,0.0234741
2,2020,0.0234741
1,2021,0.0235338
2,2021,0.0235338
1,2022,0.0236249
2,2022,0.0236249
1,2023,0.023744
2,2023,0.023744
1,2024,0.0238905
2,2024,0.0238905
1,2025,0.0240834
2,2025,0.0240834
1,2026,0.0243113
2,2026,0.0243113
1,2027,0.024544
2,2027,0.024544
1,2028,0.0247374
2,2028,0.0247374
1,2029,0.0250327
2,2029,0.0250327
1,2030,0.13993935
2,2030,0.13993935
