rgn_id,year,popsum
1,2000,5946282.03352031
1,2001,6047704.49913139
1,2002,6149126.96474246
1,2003,6250549.43035354
1,2004,6351971.89596462
1,2005,6453394.3615757
1,2006,6562241.34128037
1,2007,6671088.32098505
1,2008,6779935.30068973
1,2009,6888782.2803944
1,2010,6997629.26009908
1,2011,7105878.06016229
1,2012,7214126.86022551
1,2013,7322375.66028873
1,2014,7430624.46035195
1,2015,7538873.26041517
1,2016,7643778.85077335
1,2017,7748684.44113154
1,2018,7853590.03148973
1,2019,7958495.62184792
1,2020,8063401.2122061
2,2000,5946282.03352031
2,2001,6047704.49913139
2,2002,6149126.96474246
2,2003,6250549.43035354
2,2004,6351971.89596462
2,2005,6453394.3615757
2,2006,6562241.34128037
2,2007,6671088.32098505
2,2008,6779935.30068973
2,2009,6888782.2803944
2,2010,6997629.26009908
2,2011,7105878.06016229
2,2012,7214126.86022551
2,2013,7322375.66028873
2,2014,7430624.46035195
2,2015,7538873.26041517
2,2016,7643778.85077335
2,2017,7748684.44113154
2,2018,7853590.03148973
2,2019,7958495.62184792
2,2020,8063401.2122061
