rgn_id,stock_id,year,bbmsy
1,Dissostichus_eleginoides-87,2016,0.4222645
1,Dissostichus_eleginoides-87,2017,0.4332945
1,Engraulis_ringens-87,2001,1.121867
1,Engraulis_ringens-87,2002,1.115941
1,Engraulis_ringens-87,2003,1.224711
1,Engraulis_ringens-87,2004,1.661211
1,Engraulis_ringens-87,2005,1.602341
1,Engraulis_ringens-87,2006,1.294444
1,Engraulis_ringens-87,2007,1.621896
1,Engraulis_ringens-87,2008,1.181367
1,Engraulis_ringens-87,2009,1.042298
1,Engraulis_ringens-87,2010,1.326106
1,Engraulis_ringens-87,2011,1.673946
1,Engraulis_ringens-87,2012,1.332502
1,Engraulis_ringens-87,2013,1.539312
1,Engraulis_ringens-87,2014,1.117689
1,Engraulis_ringens-87,2015,1.017967
1,Engraulis_ringens-87,2016,0.8949213
1,Engraulis_ringens-87,2017,1.349983
1,Ethmidium_maculatum-87,2001,1.27236
1,Ethmidium_maculatum-87,2002,1.176447
1,Ethmidium_maculatum-87,2003,1.200199
1,Ethmidium_maculatum-87,2004,1.233976
1,Ethmidium_maculatum-87,2005,1.270367
1,Ethmidium_maculatum-87,2006,1.23583
1,Ethmidium_maculatum-87,2007,1.218493
1,Ethmidium_maculatum-87,2008,1.163502
1,Ethmidium_maculatum-87,2009,1.0682
1,Ethmidium_maculatum-87,2010,0.992833
1,Ethmidium_maculatum-87,2011,0.9874556
1,Ethmidium_maculatum-87,2012,1.020471
1,Ethmidium_maculatum-87,2013,1.119419
1,Ethmidium_maculatum-87,2014,1.281305
1,Ethmidium_maculatum-87,2015,1.409962
1,Ethmidium_maculatum-87,2016,1.502633
1,Ethmidium_maculatum-87,2017,1.485792
1,Genypterus_maculatus-87,2001,0.3259882
1,Genypterus_maculatus-87,2002,0.2778224
1,Genypterus_maculatus-87,2003,0.2307097
1,Genypterus_maculatus-87,2004,0.1782152
1,Genypterus_maculatus-87,2005,0.138286
1,Genypterus_maculatus-87,2006,0.1192191
1,Genypterus_maculatus-87,2007,0.1071482
1,Genypterus_maculatus-87,2008,0.1031694
1,Genypterus_maculatus-87,2009,0.1084091
1,Genypterus_maculatus-87,2010,0.1207391
1,Genypterus_maculatus-87,2011,0.1372563
1,Genypterus_maculatus-87,2012,0.156791
1,Genypterus_maculatus-87,2013,0.1801921
1,Genypterus_maculatus-87,2014,0.2084986
1,Genypterus_maculatus-87,2015,0.2424696
1,Genypterus_maculatus-87,2016,0.2851612
1,Genypterus_maculatus-87,2017,0.3361467
1,Isacia_conceptionis-87,2001,1.716501
1,Isacia_conceptionis-87,2002,1.66939
1,Isacia_conceptionis-87,2003,1.578913
1,Isacia_conceptionis-87,2004,1.476125
1,Isacia_conceptionis-87,2005,1.397109
1,Isacia_conceptionis-87,2006,1.343504
1,Isacia_conceptionis-87,2007,1.330041
1,Isacia_conceptionis-87,2008,1.36193
1,Isacia_conceptionis-87,2009,1.406289
1,Isacia_conceptionis-87,2010,1.441005
1,Isacia_conceptionis-87,2011,1.379364
1,Isacia_conceptionis-87,2012,1.28116
1,Isacia_conceptionis-87,2013,1.167767
1,Isacia_conceptionis-87,2014,1.045206
1,Isacia_conceptionis-87,2015,0.8923569
1,Isacia_conceptionis-87,2016,0.7694735
1,Isacia_conceptionis-87,2017,0.6525679
1,Istiophorus_platypterus-87,2001,1.523267095
1,Istiophorus_platypterus-87,2002,1.483642929
1,Istiophorus_platypterus-87,2003,1.428977655
1,Istiophorus_platypterus-87,2004,1.365872966
1,Istiophorus_platypterus-87,2005,1.309431333
1,Istiophorus_platypterus-87,2006,1.257449625
1,Istiophorus_platypterus-87,2007,1.214485727
1,Istiophorus_platypterus-87,2008,1.184981505
1,Istiophorus_platypterus-87,2009,1.159262688
1,Istiophorus_platypterus-87,2010,1.134000552
1,Istiophorus_platypterus-87,2011,1.108482146
1,Istiophorus_platypterus-87,2012,1.086713321
1,Istiophorus_platypterus-87,2013,1.061271533
1,Istiophorus_platypterus-87,2014,1.044993481
1,Istiophorus_platypterus-87,2015,1.031903911
1,Istiophorus_platypterus-87,2016,1.026882763
1,Istiophorus_platypterus-87,2017,1.016334615
1,Katsuwonus_pelamis-87,2001,1.371082
1,Katsuwonus_pelamis-87,2002,1.321934
1,Katsuwonus_pelamis-87,2003,1.28159
1,Katsuwonus_pelamis-87,2004,1.267236
1,Katsuwonus_pelamis-87,2005,1.256541
1,Katsuwonus_pelamis-87,2006,1.231013
1,Katsuwonus_pelamis-87,2007,1.204585
1,Katsuwonus_pelamis-87,2008,1.175634
1,Katsuwonus_pelamis-87,2009,1.145843
1,Katsuwonus_pelamis-87,2010,1.141956
1,Katsuwonus_pelamis-87,2011,1.152517
1,Katsuwonus_pelamis-87,2012,1.162903
1,Katsuwonus_pelamis-87,2013,1.17782
1,Katsuwonus_pelamis-87,2014,1.182531
1,Katsuwonus_pelamis-87,2015,1.171732
1,Katsuwonus_pelamis-87,2016,1.157453
1,Katsuwonus_pelamis-87,2017,1.125053
1,Makaira_nigricans-87,2001,0.71
1,Makaira_nigricans-87,2002,0.66
1,Makaira_nigricans-87,2003,0.65
1,Makaira_nigricans-87,2004,0.6
1,Makaira_nigricans-87,2005,0.62
1,Makaira_nigricans-87,2006,0.62
1,Makaira_nigricans-87,2007,0.64
1,Makaira_nigricans-87,2008,0.6
1,Makaira_nigricans-87,2009,0.55
1,Makaira_nigricans-87,2010,0.55
1,Makaira_nigricans-87,2011,0.542
1,Makaira_nigricans-87,2012,0.5278182
1,Makaira_nigricans-87,2013,0.5136364
1,Makaira_nigricans-87,2014,0.4994545
1,Makaira_nigricans-87,2015,0.4852727
1,Makaira_nigricans-87,2016,0.4710909
1,Makaira_nigricans-87,2017,0.4569091
1,Merluccius_gayi_peruanus-87,2001,0.399292
1,Merluccius_gayi_peruanus-87,2002,0.3560181
1,Merluccius_gayi_peruanus-87,2003,0.3322609
1,Merluccius_gayi_peruanus-87,2004,0.3035862
1,Merluccius_gayi_peruanus-87,2005,0.2879467
1,Merluccius_gayi_peruanus-87,2006,0.305505
1,Merluccius_gayi_peruanus-87,2007,0.3319691
1,Merluccius_gayi_peruanus-87,2008,0.3534041
1,Merluccius_gayi_peruanus-87,2009,0.3759958
1,Merluccius_gayi_peruanus-87,2010,0.3991035
1,Merluccius_gayi_peruanus-87,2011,0.4229818
1,Merluccius_gayi_peruanus-87,2012,0.4507482
1,Merluccius_gayi_peruanus-87,2013,0.4769889
1,Merluccius_gayi_peruanus-87,2014,0.500467
1,Merluccius_gayi_peruanus-87,2015,0.5217381
