rgn_id,product,year,tonnes_rel
1,corals,2019,2019
1,fish_oil,2019,2019
1,ornamentals,2019,2019
1,seaweeds,2019,2019
2,corals,2019,2019
2,fish_oil,2019,2019
2,ornamentals,2019,2019
2,seaweeds,2019,2019
