"rgn_id","habitat","boolean","layer"
1,"seagrass",1,"element_wts_hab_pres_abs"
2,"seagrass",1,"element_wts_hab_pres_abs"
1,"coral",1,"element_wts_hab_pres_abs"
2,"coral",1,"element_wts_hab_pres_abs"
