rgn_id;year;status
6;2013;86.35
6;2014;86.96
6;2015;90.48
6;2016;100.00
6;2017;97.36
7;2013;79.93
7;2014;90.84
7;2015;80.80
7;2016;87.21
7;2017;100.00
