rgn_id,year,Ep
1,2015,0.03
2,2015,0.03
1,2016,0.06
2,2016,0.06
1,2017,0.03
2,2017,0.03
1,2018,0.09
2,2018,0.09
1,2019,0.15
2,2019,0.15
