rgn_id,year,w_fis
1,2005,0.740305841330266
1,2006,0.790491751290541
1,2007,0.733779121470398
1,2008,0.747338660265209
1,2009,0.757235105363152
1,2010,0.639197984658058
1,2011,0.68602727314443
1,2012,0.639275418775178
1,2013,0.530058606868073
1,2014,0.554917577292654
1,2015,0.517164571165952
2,2005,0.740305841330266
2,2006,0.790491751290541
2,2007,0.733779121470398
2,2008,0.747338660265209
2,2009,0.757235105363152
2,2010,0.639197984658058
2,2011,0.68602727314443
2,2012,0.639275418775178
2,2013,0.530058606868073
2,2014,0.554917577292654
2,2015,0.517164571165952
