rgn_id,year,value
1,2005,0.169296863408617
1,2006,0.173812918897319
1,2007,0.174644009942603
1,2008,0.182633661983293
1,2009,0.180621400465975
1,2010,0.183941182135831
1,2011,0.19524156806755
1,2012,0.2030158152264
1,2013,0.209767492067901
1,2014,0.214408255878226
1,2015,0.211413034200545
1,2016,0.205023620047971
1,2017,0.208124706136292
2,2005,0.169296863408617
2,2006,0.173812918897319
2,2007,0.174644009942603
2,2008,0.182633661983293
2,2009,0.180621400465975
2,2010,0.183941182135831
2,2011,0.19524156806755
2,2012,0.2030158152264
2,2013,0.209767492067901
2,2014,0.214408255878226
2,2015,0.211413034200545
2,2016,0.205023620047971
2,2017,0.208124706136292
