rgn_id,year,pressure_score
6,1969,1
6,1970,1
6,1971,1
6,1972,1
6,1973,0.997991513435644
6,1974,0.997991513435644
6,1975,0.993456221193548
6,1976,0.990340136047619
6,1977,0.98701618990781
6,1978,0.980085397711157
6,1979,0.957684120872712
6,1980,0.965129785222876
6,1981,0.96350247931314
6,1982,0.973807840513116
6,1983,0.980822328918067
6,1984,0.9797142857
6,1985,0.979717643706009
6,1986,0.979713355759856
6,1987,0.979696524613266
6,1988,0.978803657962649
6,1989,0.979074668799111
6,1990,0.979336784417817
6,1991,0.980498025755587
6,1992,0.981829132201886
6,1993,0.979211273771661
6,1994,0.979714030031871
6,1995,0.982710137996214
6,1996,0.981202607947917
6,1997,0.97971533762485
6,1998,0.979713987287509
6,1999,0.962570229266147
6,2000,0.967220949886644
6,2001,0.963856383486242
6,2002,0.973973188383669
6,2003,1
6,2004,1
6,2005,1
6,2006,1
6,2007,1
6,2008,1
6,2009,1
6,2010,1
6,2011,1
6,2012,1
6,2013,1
6,2014,1
6,2015,1
6,2016,1
7,1969,1
7,1970,1
7,1971,1
7,1972,1
7,1973,0.997991513435644
7,1974,0.997991513435644
7,1975,0.993456221193548
7,1976,0.990340136047619
7,1977,0.98701618990781
7,1978,0.980085397711157
7,1979,0.957684120872712
7,1980,0.965129785222876
7,1981,0.96350247931314
7,1982,0.973807840513116
7,1983,0.980822328918067
7,1984,0.9797142857
7,1985,0.979717643706009
7,1986,0.979713355759856
7,1987,0.979696524613266
7,1988,0.978803657962649
7,1989,0.979074668799111
7,1990,0.979336784417817
7,1991,0.980498025755587
7,1992,0.981829132201886
7,1993,0.979211273771661
7,1994,0.979714030031871
7,1995,0.982710137996214
7,1996,0.981202607947917
7,1997,0.97971533762485
7,1998,0.979713987287509
7,1999,0.962570229266147
7,2000,0.967220949886644
7,2001,0.963856383486242
7,2002,0.973973188383669
7,2003,1
7,2004,1
7,2005,1
7,2006,1
7,2007,1
7,2008,1
7,2009,1
7,2010,1
7,2011,1
7,2012,1
7,2013,1
7,2014,1
7,2015,1
7,2016,1
