rgn_id,taxa_code,taxa_group,year,tonnes
7,Scallops nei_494,BI,2006,0
7,Scallops nei_494,BI,2007,0
7,Scallops nei_494,BI,2008,0
7,Scallops nei_494,BI,2009,0
7,Scallops nei_494,BI,2010,0
7,Scallops nei_494,BI,2011,0
7,Scallops nei_494,BI,2012,0
7,Scallops nei_494,BI,2013,0
7,Scallops nei_494,BI,2014,0
7,Scallops nei_494,BI,2015,0
7,Scallops nei_494,BI,2016,0
7,Whiteleg shrimp_495,SH,1969,10
7,Whiteleg shrimp_495,SH,1970,50
7,Whiteleg shrimp_495,SH,1971,50
7,Whiteleg shrimp_495,SH,1972,200
7,Whiteleg shrimp_495,SH,1973,500
7,Whiteleg shrimp_495,SH,1974,1000
7,Whiteleg shrimp_495,SH,1975,1500
7,Whiteleg shrimp_495,SH,1976,2000
7,Whiteleg shrimp_495,SH,1977,3188
7,Whiteleg shrimp_495,SH,1978,3500
7,Whiteleg shrimp_495,SH,1979,3718
7,Whiteleg shrimp_495,SH,1980,7602
7,Whiteleg shrimp_495,SH,1981,9923
7,Whiteleg shrimp_495,SH,1982,18724
7,Whiteleg shrimp_495,SH,1983,32325
7,Whiteleg shrimp_495,SH,1984,30240
7,Whiteleg shrimp_495,SH,1985,27185
7,Whiteleg shrimp_495,SH,1986,39265
7,Whiteleg shrimp_495,SH,1987,62238
7,Whiteleg shrimp_495,SH,1988,66704
7,Whiteleg shrimp_495,SH,1989,62836
7,Whiteleg shrimp_495,SH,1990,68636
7,Whiteleg shrimp_495,SH,1991,95121
7,Whiteleg shrimp_495,SH,1992,103003
7,Whiteleg shrimp_495,SH,1993,74857
7,Whiteleg shrimp_495,SH,1994,79858
7,Whiteleg shrimp_495,SH,1995,96597
7,Whiteleg shrimp_495,SH,1996,97920
7,Whiteleg shrimp_495,SH,1997,119439
7,Whiteleg shrimp_495,SH,1998,129600
7,Whiteleg shrimp_495,SH,1999,107700
7,Whiteleg shrimp_495,SH,2000,50110
7,Whiteleg shrimp_495,SH,2001,45269
7,Whiteleg shrimp_495,SH,2002,63600
7,Whiteleg shrimp_495,SH,2003,77400
7,Whiteleg shrimp_495,SH,2004,89600
7,Whiteleg shrimp_495,SH,2005,118500
7,Whiteleg shrimp_495,SH,2006,149200
7,Whiteleg shrimp_495,SH,2007,150000
7,Whiteleg shrimp_495,SH,2008,150000
7,Whiteleg shrimp_495,SH,2009,179100
7,Whiteleg shrimp_495,SH,2010,223313
7,Whiteleg shrimp_495,SH,2011,260000
7,Whiteleg shrimp_495,SH,2012,281100
7,Whiteleg shrimp_495,SH,2013,304000
7,Whiteleg shrimp_495,SH,2014,340000
7,Whiteleg shrimp_495,SH,2015,403000
7,Whiteleg shrimp_495,SH,2016,422000
