rgn_id,habitat,year,trend
6,mangrove,2012,-9.18e-4
6,mangrove,2013,-8.22e-4
6,mangrove,2014,-7.9e-4
6,mangrove,2015,-9.18e-4
7,mangrove,2012,-9.18e-4
7,mangrove,2013,-8.22e-4
7,mangrove,2014,-7.9e-4
7,mangrove,2015,-9.18e-4
