rgn_id,habitat,boolean
1,coral,1
1,mangrove,1
1,saltmarsh,0
1,seagrass,0
1,seaice,0
1,softbottom,1
2,coral,1
2,mangrove,1
2,saltmarsh,0
2,seagrass,0
2,seaice,0
2,softbottom,1
