rgn_id,year,resilience.score
1,2000,0.430003165004769
1,2001,0.430003165004769
1,2002,0.430031713316923
1,2003,0.430037885924957
1,2004,0.430037885924957
1,2005,0.430037885924957
1,2006,0.430037885924957
1,2007,0.430354232086667
1,2008,0.433901166977843
1,2009,0.433901166977843
1,2010,0.433905796433868
1,2011,0.43397832457826
1,2012,0.434377229372417
1,2013,0.434745271126407
1,2014,0.434745271126407
1,2015,0.434745271126407
1,2016,0.434745271126407
1,2017,0.434745271126407
1,2018,0.434745271126407
2,2000,0.430003165004769
2,2001,0.430003165004769
2,2002,0.430031713316923
2,2003,0.430037885924957
2,2004,0.430037885924957
2,2005,0.430037885924957
2,2006,0.430037885924957
2,2007,0.430354232086667
2,2008,0.433901166977843
2,2009,0.433901166977843
2,2010,0.433905796433868
2,2011,0.43397832457826
2,2012,0.434377229372417
2,2013,0.434745271126407
2,2014,0.434745271126407
2,2015,0.434745271126407
2,2016,0.434745271126407
2,2017,0.434745271126407
2,2018,0.434745271126407
