rgn_id,year,popsum
6,2000,5946282.03352031
6,2001,6047704.49913139
6,2002,6149126.96474246
6,2003,6250549.43035354
6,2004,6351971.89596462
6,2005,6453394.3615757
6,2006,6562241.34128037
6,2007,6671088.32098505
6,2008,6779935.30068973
6,2009,6888782.2803944
6,2010,6997629.26009908
6,2011,7105878.06016229
6,2012,7214126.86022551
6,2013,7322375.66028873
6,2014,7430624.46035195
6,2015,7538873.26041517
6,2016,7643778.85077335
6,2017,7748684.44113154
6,2018,7853590.03148973
6,2019,7958495.62184792
6,2020,8063401.2122061
7,2000,5946282.03352031
7,2001,6047704.49913139
7,2002,6149126.96474246
7,2003,6250549.43035354
7,2004,6351971.89596462
7,2005,6453394.3615757
7,2006,6562241.34128037
7,2007,6671088.32098505
7,2008,6779935.30068973
7,2009,6888782.2803944
7,2010,6997629.26009908
7,2011,7105878.06016229
7,2012,7214126.86022551
7,2013,7322375.66028873
7,2014,7430624.46035195
7,2015,7538873.26041517
7,2016,7643778.85077335
7,2017,7748684.44113154
7,2018,7853590.03148973
7,2019,7958495.62184792
7,2020,8063401.2122061
