rgn_id,stock_id,year,bbmsy
6,Coryphaena_hippurus-87,2001,1.8164362527884
6,Coryphaena_hippurus-87,2002,1.77597881195594
6,Coryphaena_hippurus-87,2003,1.7387176984291
6,Coryphaena_hippurus-87,2004,1.68502981772419
6,Coryphaena_hippurus-87,2005,1.63010676770007
6,Coryphaena_hippurus-87,2006,1.59811334836222
6,Coryphaena_hippurus-87,2007,1.58120130549124
6,Coryphaena_hippurus-87,2008,1.5435498467448
6,Coryphaena_hippurus-87,2009,1.4802561350635
6,Coryphaena_hippurus-87,2010,1.41544091690709
6,Coryphaena_hippurus-87,2011,1.34968754897819
6,Coryphaena_hippurus-87,2012,1.25516912251848
6,Coryphaena_hippurus-87,2013,1.18832122319669
6,Coryphaena_hippurus-87,2014,1.13120230412902
6,Coryphaena_hippurus-87,2015,1.05758255104131
6,Katsuwonus_pelamis-87,2001,1.44788561541302
6,Katsuwonus_pelamis-87,2002,1.3975452108512
6,Katsuwonus_pelamis-87,2003,1.34456800312001
6,Katsuwonus_pelamis-87,2004,1.31709325377111
6,Katsuwonus_pelamis-87,2005,1.29396696551219
6,Katsuwonus_pelamis-87,2006,1.24701817236212
6,Katsuwonus_pelamis-87,2007,1.20410650879871
6,Katsuwonus_pelamis-87,2008,1.15594623590291
6,Katsuwonus_pelamis-87,2009,1.10066530839906
6,Katsuwonus_pelamis-87,2010,1.07318149712023
6,Katsuwonus_pelamis-87,2011,1.06073086549062
6,Katsuwonus_pelamis-87,2012,1.04418612894524
6,Katsuwonus_pelamis-87,2013,1.03663863701824
6,Katsuwonus_pelamis-87,2014,1.02718735414339
6,Katsuwonus_pelamis-87,2015,1.00180394196765
6,Scomber_japonicus-87,2001,1.03529158418988
6,Scomber_japonicus-87,2002,0.997189341146044
6,Scomber_japonicus-87,2003,0.947375925367592
6,Scomber_japonicus-87,2004,0.900494632813819
6,Scomber_japonicus-87,2005,0.840120475753259
6,Scomber_japonicus-87,2006,0.784575660983936
6,Scomber_japonicus-87,2007,0.718691555019497
6,Scomber_japonicus-87,2008,0.668259936009481
6,Scomber_japonicus-87,2009,0.631541565864317
6,Scomber_japonicus-87,2010,0.594822711151611
6,Scomber_japonicus-87,2011,0.569296026885394
6,Scomber_japonicus-87,2012,0.55472893184664
6,Scomber_japonicus-87,2013,0.541342814026923
6,Scomber_japonicus-87,2014,0.530291953833375
6,Scomber_japonicus-87,2015,0.521063529383451
6,Scomberomorus_sierra-87,2001,1.10011501635535
6,Scomberomorus_sierra-87,2002,1.03219048778165
6,Scomberomorus_sierra-87,2003,1.03607521280972
6,Scomberomorus_sierra-87,2004,1.15128014518138
6,Scomberomorus_sierra-87,2005,1.30385890201719
6,Scomberomorus_sierra-87,2006,1.39648835113401
6,Scomberomorus_sierra-87,2007,1.47058274688179
6,Scomberomorus_sierra-87,2008,1.501792512187
6,Scomberomorus_sierra-87,2009,1.48923202719998
6,Scomberomorus_sierra-87,2010,1.44720142384054
6,Scomberomorus_sierra-87,2011,1.43352617382207
6,Scomberomorus_sierra-87,2012,1.42731959041257
6,Scomberomorus_sierra-87,2013,1.4338490798771
6,Scomberomorus_sierra-87,2014,1.43591776346457
6,Scomberomorus_sierra-87,2015,1.41287491526247
6,Thunnus_alalunga-87,2001,1.91
6,Thunnus_alalunga-87,2002,1.76
6,Thunnus_alalunga-87,2003,1.78
6,Thunnus_alalunga-87,2004,1.85
6,Thunnus_alalunga-87,2005,1.87
