goal,dimension,region_id,score
AO,future,0,99.13
AO,future,1,98.26
AO,future,2,100
AO,pressures,1,33.11
AO,pressures,2,33.68
AO,resilience,1,65.25
AO,resilience,2,65.25
AO,score,0,94.12
AO,score,1,94.38
AO,score,2,93.85
AO,status,0,89.1
AO,status,1,90.5
AO,status,2,87.7
AO,trend,1,-0.03
AO,trend,2,0.11
BD,future,0,96.88
BD,future,1,97.02
BD,future,2,96.74
BD,pressures,1,
BD,pressures,2,
BD,resilience,1,
BD,resilience,2,
BD,score,0,95.37
BD,score,1,95.44
BD,score,2,95.3
BD,status,0,93.86
BD,status,1,93.86
BD,status,2,93.86
BD,trend,1,0.06
BD,trend,2,0.04
CP,future,0,100
CP,future,1,100
CP,future,2,
CP,pressures,1,44.86
CP,pressures,2,
CP,resilience,1,58.65
CP,resilience,2,
CP,score,0,100
CP,score,1,100
CP,score,2,
CP,status,0,100
CP,status,1,100
CP,status,2,
CP,trend,1,0.01
CP,trend,2,
CS,future,0,100
CS,future,1,100
CS,future,2,100
CS,pressures,1,41.23
CS,pressures,2,41.63
CS,resilience,1,58.85
CS,resilience,2,61.49
CS,score,0,100
CS,score,1,100
CS,score,2,100
CS,status,0,100
CS,status,1,100
CS,status,2,100
CS,trend,1,0.04
CS,trend,2,0.16
CW,future,0,19.33
CW,future,1,18.44
CW,future,2,20.23
CW,pressures,1,73.14
CW,pressures,2,73.14
CW,resilience,1,55.81
CW,resilience,2,55.81
CW,score,0,19.93
CW,score,1,19.11
CW,score,2,20.75
CW,status,0,20.53
CW,status,1,19.79
CW,status,2,21.27
CW,trend,1,-0.02
CW,trend,2,0.01
ECO,future,0,100
ECO,future,1,100
ECO,future,2,100
ECO,pressures,1,39.64
ECO,pressures,2,39.88
ECO,resilience,1,61.19
ECO,resilience,2,61.19
ECO,score,0,97.87
ECO,score,1,97.87
ECO,score,2,97.87
ECO,status,0,95.75
ECO,status,1,95.75
ECO,status,2,95.75
ECO,trend,1,0.57
ECO,trend,2,0.57
FIS,future,0,96.17
FIS,future,1,96.29
FIS,future,2,96.05
FIS,pressures,1,31.41
FIS,pressures,2,32.31
FIS,resilience,1,57.92
FIS,resilience,2,57.92
FIS,score,0,88.64
