rgn_id,stock_id_taxonkey,year,catch
1,Cetengraulis_mysticetus-87_600548,2014,0
1,Cheilodactylus_variegatus-87_600461,2014,0
1,Decapterus_macrosoma-87_601938,2014,19.9629
1,Engraulis_ringens-87_600004,2014,37769.84
1,Ethmidium_maculatum-87_601593,2014,0
1,Isacia_conceptionis-87_600397,2014,66.9339
1,Opisthonema_libertate-87_601484,2014,16.5618
1,Sardinops_sagax-87_601477,2014,0
1,Scomber_japonicus-87_600117,2014,4090.896608
1,Trachurus_murphyi-87_600367,2014,813.8018475
1,Cetengraulis_mysticetus-87_600548,2015,0
1,Cheilodactylus_variegatus-87_600461,2015,2.0601
1,Decapterus_macrosoma-87_601938,2015,13.131
1,Engraulis_ringens-87_600004,2015,88732.52
1,Ethmidium_maculatum-87_601593,2015,0
1,Isacia_conceptionis-87_600397,2015,96.9777
1,Opisthonema_libertate-87_601484,2015,0
1,Sardinops_sagax-87_601477,2015,0
1,Scomber_japonicus-87_600117,2015,11453.01289
1,Trachurus_murphyi-87_600367,2015,1645.300374
1,Cetengraulis_mysticetus-87_600548,2016,0
1,Cheilodactylus_variegatus-87_600461,2016,4.5693
1,Decapterus_macrosoma-87_601938,2016,24.2469
1,Engraulis_ringens-87_600004,2016,86588.07
1,Ethmidium_maculatum-87_601593,2016,14.125104
1,Isacia_conceptionis-87_600397,2016,131.5107
1,Opisthonema_libertate-87_601484,2016,12.0438
1,Sardinops_sagax-87_601477,2016,0
1,Scomber_japonicus-87_600117,2016,4750.309122
1,Trachurus_murphyi-87_600367,2016,1174.15358
1,Cetengraulis_mysticetus-87_600548,2017,0
1,Cheilodactylus_variegatus-87_600461,2017,1.1214
1,Decapterus_macrosoma-87_601938,2017,15.8094
1,Engraulis_ringens-87_600004,2017,144059.3
1,Ethmidium_maculatum-87_601593,2017,0
1,Isacia_conceptionis-87_600397,2017,0
1,Opisthonema_libertate-87_601484,2017,7.3341
1,Sardinops_sagax-87_601477,2017,0
1,Scomber_japonicus-87_600117,2017,4993.217392
1,Trachurus_murphyi-87_600367,2017,475.0913741
1,Cetengraulis_mysticetus-87_600548,2018,0
1,Cheilodactylus_variegatus-87_600461,2018,1.4319
1,Decapterus_macrosoma-87_601938,2018,1.4202
1,Engraulis_ringens-87_600004,2018,155139.26
1,Ethmidium_maculatum-87_601593,2018,5.570956956
1,Isacia_conceptionis-87_600397,2018,47.0529
1,Opisthonema_libertate-87_601484,2018,10.7262
1,Sardinops_sagax-87_601477,2018,0
1,Scomber_japonicus-87_600117,2018,6504.696709
1,Trachurus_murphyi-87_600367,2018,613.4253318
1,Cetengraulis_mysticetus-87_600548,2019,3.4353
1,Cheilodactylus_variegatus-87_600461,2019,2.019255688
1,Decapterus_macrosoma-87_601938,2019,41.319
1,Engraulis_ringens-87_600004,2019,140240.08
1,Ethmidium_maculatum-87_601593,2019,9.487378345
1,Isacia_conceptionis-87_600397,2019,17.2575
1,Opisthonema_libertate-87_601484,2019,1.494
1,Sardinops_sagax-87_601477,2019,0
1,Scomber_japonicus-87_600117,2019,5790.293571
1,Trachurus_murphyi-87_600367,2019,326.4786437
1,Cetengraulis_mysticetus-87_600548,2020,0
1,Cheilodactylus_variegatus-87_600461,2020,0
1,Decapterus_macrosoma-87_601938,2020,30.2238
1,Engraulis_ringens-87_600004,2020,181305.9
1,Ethmidium_maculatum-87_601593,2020,84.0915
1,Isacia_conceptionis-87_600397,2020,0
1,Opisthonema_libertate-87_601484,2020,0.9
1,Sardinops_sagax-87_601477,2020,0
1,Scomber_japonicus-87_600117,2020,212.41395
1,Trachurus_murphyi-87_600367,2020,12.834
2,Cheilodactylus_variegatus-87_600461,2000,0.9
2,Ethmidium_maculatum-87_601593,2000,2.7
2,Isacia_conceptionis-87_600397,2000,2.7
2,Sardinops_sagax-87_601477,2000,27
2,Scomber_japonicus-87_600117,2000,101.7
2,Trachurus_murphyi-87_600367,2000,473.4
2,Cheilodactylus_variegatus-87_600461,2001,8.1
2,Ethmidium_maculatum-87_601593,2001,19.8
2,Isacia_conceptionis-87_600397,2001,72.9
2,Sardinops_sagax-87_601477,2001,128.7
2,Scomber_japonicus-87_600117,2001,1706.625
2,Trachurus_murphyi-87_600367,2001,19163.475
2,Cheilodactylus_variegatus-87_600461,2002,0.9
2,Ethmidium_maculatum-87_601593,2002,1.8
2,Isacia_conceptionis-87_600397,2002,279
2,Sardinops_sagax-87_601477,2002,335.7
2,Scomber_japonicus-87_600117,2002,1436.4
2,Trachurus_murphyi-87_600367,2002,14010.3
2,Cheilodactylus_variegatus-87_600461,2003,8.1
2,Ethmidium_maculatum-87_601593,2003,0
2,Isacia_conceptionis-87_600397,2003,36
2,Sardinops_sagax-87_601477,2003,260.1
2,Scomber_japonicus-87_600117,2003,1746
2,Trachurus_murphyi-87_600367,2003,2403
2,Cheilodactylus_variegatus-87_600461,2004,0
2,Ethmidium_maculatum-87_601593,2004,0
