year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1951,137,87,Carangidae,"Jacks, pompanos",400314,14369.3734865869,Carangidae-87
1951,137,87,Carcharhinus falciformis,Silky shark,600868,3.62622,Carcharhinus_falciformis-87
1951,137,87,Chaetodipterus zonatus,Pacific spadefish,603599,66.8266365089233,Chaetodipterus_zonatus-87
1951,137,87,Chondrichthyes,"Sharks, rays, chimaeras",200538,0.302185,Chondrichthyes-87
1951,137,87,Crassostrea gigas,Pacific cupped oyster,690283,2.36576606413544,Crassostrea_gigas-87
1951,137,87,Cynoscion analis,Peruvian weakfish,600403,2.03212215536596,Cynoscion_analis-87
1951,137,87,Dasyatis longa,Longtail stingray,613178,186.937726868512,Dasyatis_longa-87
1951,137,87,Dosidicus gigas,Jumbo flying squid,690206,813.265761583877,Dosidicus_gigas-87
1951,137,87,Engraulis ringens,Anchoveta,600004,24.6772880300142,Engraulis_ringens-87
1951,137,87,Epinephelus,"Seabasses, hinds",500366,65.6772236471994,Epinephelus-87
1951,137,87,Ethmidium maculatum,Pacific menhaden,601593,6.19203723752119,Ethmidium_maculatum-87
1951,137,87,Fistularia corneta,Pacific cornetfish,608289,9907.20669882552,Fistularia_corneta-87
1951,137,87,Haemulidae,"Grunts, sweetlips, bonnetmouths",400327,0.113602743372872,Haemulidae-87
1951,137,87,Hyporthodus mystacinus,Misty grouper,601206,17.7013420096067,Hyporthodus_mystacinus-87
1951,137,87,Isacia conceptionis,Cabinza grunt,600397,1.01246572082846,Isacia_conceptionis-87
1951,137,87,Katsuwonus pelamis,Skipjack tuna,600107,52844.9977144319,Katsuwonus_pelamis-87
1951,137,87,Litopenaeus vannamei,Whiteleg shrimp,690440,881.597907307715,Litopenaeus_vannamei-87
1951,137,87,Lobotes pacificus,Pacific tripletail,660984,43.2602041823043,Lobotes_pacificus-87
1951,137,87,Lutjanidae,Snappers,400323,86.374476004172,Lutjanidae-87
1951,137,87,Lutjanus,Snappers,500357,113.197503843826,Lutjanus-87
1951,137,87,Malacanthidae,Tilefishes,400308,288.310260619377,Malacanthidae-87
1951,137,87,Manta birostris,Giant manta,602061,19.3280772803557,Manta_birostris-87
1951,137,87,Marine fishes not identified,Marine fishes nei,100039,13033.0121469656,Marine_fishes_not_identified-87
1951,137,87,Miscellaneous aquatic invertebrates,Aquatic invertebrates,100077,34.5172543371991,Miscellaneous_aquatic_invertebrates-87
1951,137,87,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",100047,5.81713334799565,Miscellaneous_marine_crustaceans-87
1951,137,87,Mugil,Grey mullets,500152,37.4706430788477,Mugil-87
1951,137,87,Mugil cephalus,Flathead grey mullet,600785,2.03236261312413,Mugil_cephalus-87
1951,137,87,Mugilidae,"Mullets, grey mullets",400359,37.4706430788477,Mugilidae-87
1951,137,87,Mycteroperca,"Scamps, gags",503028,212.110095092821,Mycteroperca-87
1951,137,87,Mycteroperca xenarcha,Broomtail grouper,603334,26.7208081917706,Mycteroperca_xenarcha-87
1951,137,87,Paralabrax,Sand basses,502364,161.744571920032,Paralabrax-87
1951,137,87,Paralabrax humeralis,Peruvian rock seabass,600352,23.7209225875407,Paralabrax_humeralis-87
1951,137,87,Paralonchurus peruanus,Peruvian banded croaker,600424,2.21137162809964,Paralonchurus_peruanus-87
1951,137,87,Peristediidae,"Armored searobins, gurnards",400581,3761.14690879673,Peristediidae-87
1951,137,87,Pleuronectiformes,Flatfishes,300061,0.0255670069339266,Pleuronectiformes-87
1951,137,87,Pomadasys,Grunters,500516,1005.62393775292,Pomadasys-87
1951,137,87,Prionace glauca,Blue shark,600898,15.62064,Prionace_glauca-87
1951,137,87,Rajiformes,Skates and rays,300014,431.024252733976,Rajiformes-87
1951,137,87,Sarda chiliensis,Eastern Pacific bonito,600113,729.37140731373,Sarda_chiliensis-87
1951,137,87,Sardinops sagax,Pacific sardine,601477,5.63790676749197,Sardinops_sagax-87
1951,137,87,Sciaenidae,"Drums, croakers",400331,2526.07607099951,Sciaenidae-87
