rgn_id,year,a_prot_1km
1,2010,49.52
1,2011,49.52
1,2012,49.52
1,2013,49.52
1,2014,49.52
1,2015,135.42
1,2016,151.37
1,2017,151.37
1,2018,151.37
1,2019,151.37
1,2020,151.37
2,2010,15.76
2,2011,15.76
2,2012,15.76
2,2013,15.76
2,2014,15.76
2,2015,15.76
2,2016,15.76
2,2017,15.76
2,2018,15.76
2,2019,15.76
2,2020,15.76
