rgn_id,year,value
6,2008,0.3509
6,2009,0.3603
6,2010,0.3276
6,2011,0.2864
6,2012,0.2731
6,2013,0.2555
6,2014,0.2249
6,2015,0.2328
6,2016,0.2292
6,2017,0.2150
6,2018,0.2320
6,2019,0.2500
7,2008,0.3509
7,2009,0.3603
7,2010,0.3276
7,2011,0.2864
7,2012,0.2731
7,2013,0.2555
7,2014,0.2249
7,2015,0.2328
7,2016,0.2292
7,2017,0.2150
7,2018,0.2320
7,2019,0.2500
