region_id,region_name,flower_png
0,Bahia de Sechura (Peru),reports/figures/flower_BahiadeSechura(Peru).png
6,Santa Elena,reports/figures/flower_SantaElena.png
7,Manabi,reports/figures/flower_Manabi.png
